t,rI_x,rI_y,rI_z,vI_x,vI_y,vI_z,aI_x,aI_y,aI_z,xI_x,xI_y,xI_z,
0,2,0,1,0,1.256637061,0,-0.789568352,0,0,-0.894427191,0,-0.447213595,
0.005,1.99999013,0.006283175,1,-0.003947835,1.25663086,0,-0.789564456,-0.002480498,0,-0.894422777,-0.002809921,-0.447213595,
0.01,1.999960522,0.012566288,1,-0.007895632,1.256612256,0,-0.789552767,-0.004960972,0,-0.894409536,-0.005619815,-0.447213595,
0.015,1.999911174,0.018849277,1,-0.01184335,1.256581251,0,-0.789533285,-0.007441396,0,-0.894387467,-0.008429653,-0.447213595,
0.02,1.999842088,0.02513208,1,-0.015790951,1.256537843,0,-0.789506011,-0.009921747,0,-0.894356571,-0.011239408,-0.447213595,
0.025,1.999753265,0.031414635,1,-0.019738397,1.256482033,0,-0.789470945,-0.012402001,0,-0.894316848,-0.014049052,-0.447213595,
0.03,1.999644705,0.037696879,1,-0.023685648,1.256413823,0,-0.789428087,-0.014882131,0,-0.894268298,-0.016858557,-0.447213595,
0.035,1.999516409,0.043978752,1,-0.027632665,1.256333212,0,-0.789377438,-0.017362115,0,-0.894210922,-0.019667896,-0.447213595,
0.04,1.999368379,0.050260191,1,-0.031579409,1.256240202,0,-0.789318998,-0.019841928,0,-0.894144721,-0.022477041,-0.447213595,
0.045,1.999200615,0.056541134,1,-0.035525842,1.256134793,0,-0.789252768,-0.022321545,0,-0.894069695,-0.025285964,-0.447213595,
0.05,1.999013121,0.062821518,1,-0.039471924,1.256016987,0,-0.789178748,-0.024800941,0,-0.893985845,-0.028094637,-0.447213595,
0.055,1.998805897,0.069101283,1,-0.043417616,1.255886784,0,-0.789096939,-0.027280093,0,-0.893893172,-0.030903033,-0.447213595,
0.06,1.998578945,0.075380365,1,-0.04736288,1.255744186,0,-0.789007342,-0.029758975,0,-0.893791676,-0.033711124,-0.447213595,
0.065,1.998332269,0.081658704,1,-0.051307677,1.255589195,0,-0.788909958,-0.032237564,0,-0.893681359,-0.036518883,-0.447213595,
0.07,1.998065869,0.087936237,1,-0.055251967,1.255421811,0,-0.788804788,-0.034715835,0,-0.893562221,-0.039326281,-0.447213595,
0.075,1.99777975,0.094212901,1,-0.059195712,1.255242037,0,-0.788691832,-0.037193763,0,-0.893434265,-0.04213329,-0.447213595,
0.08,1.997473913,0.100488636,1,-0.063138872,1.255049874,0,-0.788571093,-0.039671324,0,-0.893297491,-0.044939884,-0.447213595,
0.085,1.997148362,0.10676338,1,-0.06708141,1.254845325,0,-0.788442571,-0.042148493,0,-0.8931519,-0.047746035,-0.447213595,
0.09,1.9968031,0.113037069,1,-0.071023285,1.25462839,0,-0.788306267,-0.044625246,0,-0.892997494,-0.050551714,-0.447213595,
0.095,1.996438131,0.119309643,1,-0.074964459,1.254399073,0,-0.788162182,-0.047101559,0,-0.892834275,-0.053356894,-0.447213595,
0.1,1.996053457,0.125581039,1,-0.078904894,1.254157375,0,-0.788010319,-0.049577407,0,-0.892662243,-0.056161548,-0.447213595,
0.105,1.995649083,0.131851196,1,-0.08284455,1.2539033,0,-0.787850679,-0.052052766,0,-0.892481402,-0.058965647,-0.447213595,
